"lakeName","Year","Month","sampleID","siteID","latitude","longitude","Date","TOD","secchi","sampleDepth","wind","DIC","DOC","Altitude","windMS","conductivity","oxygenConcentration","oxygenPercent","pH","salinity","specificConductivity","TDS","temperature","Day","pco2atm","DICumol","chlvalue","CO2fluxmmolm2d","pCO2uatm"
"Manitou",2013,8,63,62,52.762476,-109.751467,2013-08-20,"8:18:00 AM",1.845,15.9,25,682.795,114.329,598,6.94444444444444,28527,6.01,92,9.57,27,41995,NA,20.7,20,395.01,56899.5833333333,4.345,-3.77334990748973,315.226282027091
"Mason",2013,8,19,18,50.361342,-109.353375,2013-08-07,"8:33:00 AM",0.24,1.9,5,184.987,45.451,691,1.38888888888889,7902,3.82,51.5,9.26,4.97,8870,NA,19.3,7,395.01,15415.5833333333,6.77,-12.4478323006084,289.066557492283
"McDonald",2013,7,5,4,49.193596,-103.24316,2013-07-29,"1:16:00 PM",1.5,14.5,0,41.19,10.384,541,0,462.1,8.64,110.2,8.48,0.25,508.1,NA,20.2,29,397.19,3432.5,14.065,19.2602900267398,564.612312728046
"McLean",2013,8,70,69,52.615348,-109.369339,2013-08-20,"3:28:00 PM",0,6.5,24,189.586,198.252,584,6.66666666666667,62825,NA,NA,9.27,46.22,67730,NA,21.2,20,395.01,15798.8333333333,173.985,-10.4656204415628,186.469668092462
"Middle",2013,8,94,92,52.562869,-105.194594,2013-08-06,"8:54:00 AM",3.3,10,5,85.516,31.605,516,1.38888888888889,7602,7.2,107,9.07,4.71,NA,5.48,19.86,6,395.01,7126.33333333333,NA,-21.1600646647426,222.807387219877
"Montague",2013,8,45,44,49.474371,-105.826204,2013-08-13,"9:00:00 AM",0.11,1.4,13,100.373,12.851,727,3.61111111111111,1865,6.97,88.9,9.07,1.07,2085,NA,19.7,13,395.01,8364.41666666667,12.65,-5.13204301342162,306.598971815259
"Newton",2013,8,41,40,49.318744,-107.829794,2013-08-12,"3:52:00 PM",1.15,4.2,12,46.545,8.057,805,3.33333333333333,709,6.96,91.6,8.92,0.38,727,NA,20.7,12,395.01,3878.75,2.94,-12.810736346416,220.776693040883
"Nickle",2013,7,4,2,49.585871,-103.779345,2013-07-29,"7:31:00 AM",0.79,5.7,0,35.309,15.661,560,0,455,7.18,90.6,8.17,0.25,508.8,NA,19.6,29,397.19,2942.41666666667,5.885,44.435011509147,988.768158786697
"Old Wives",2013,8,35,34,50.095036,-105.992192,2013-08-12,"7:30:00 AM",0.43,1.7,12,82.764,18.942,666,3.33333333333333,2562,7.69,97.8,9.3,1.51,2900,NA,18.9,12,395.01,6897,14.955,-27.9176084663718,135.690838566957
"Opuntia",2013,8,89,88,51.808829,-108.573124,2013-08-08,"11:58:00 AM",1.45,1.6,9,133.47,28.742,594,2.5,5220,4.87,66.4,9.03,2.98,5500,NA,22.6,8,395.01,11122.5,2.665,5.31532068414314,405.862497156463
"Pasqua",2013,8,88,87,50.79004,-103.943374,2013-08-30,"10:05:00 AM",0.75,12.5,34,52.128,12.662,499,9.44444444444444,1444,7.47,99.7,9.04,0.77,1523,NA,22.3,30,395.01,4344,14.26,-9.69405450402212,176.096776826101
"Peter",2013,8,56,55,51.464382,-104.913697,2013-08-16,"12:17:00 PM",0.5,0.5,20,41.037,35.329,519,5.55555555555556,4907,14.23,190.5,9.49,2.78,5159,NA,22.4,16,395.01,3419.75,0.565,-38.6342347779463,36.2034018518826
"Pike",2013,7,8,7,51.897708,-106.816893,2013-07-31,"2:56:00 PM",0.99,2.5,11,59.997,18.313,485,3.05555555555556,491.3,7.59,96.9,8.66,0.26,545.7,NA,19.8,31,397.19,4999.75,13.22,12.2450380485638,537.421186059605
"Porter",2013,7,7,6,52.193087,-106.28688,2013-07-31,"11:23:00 AM",1.825,4,17,83.677,25.979,812,4.72222222222222,5472,5.25,65,8.49,2.78,5143,NA,19.2,31,397.19,6973.08333333333,2.82,30.3600441651619,941.034467061982
"Quill",2013,8,50,49,51.858683,-104.374455,2013-08-15,"1:10:00 PM",1.08,6.4,12,75.738,27.905,517,3.33333333333333,11311,6.29,82,8.79,7.39,12807,NA,19,15,395.01,6311.5,12.115,0.725473618036445,380.127149283272
"Rabbit",2013,8,99,97,52.608738,-107.018894,2013-08-09,"1:20:00 PM",1,6.5,5,90.086,23.31,509,1.38888888888889,6937,7.8,114,9.29,4.26,NA,4.994,19.93,9,395.01,7507.16666666667,NA,-44.5362089490388,132.378437970415
"Redberry",2013,8,98,96,52.621283,-107.018894,2013-08-09,"11:40:00 AM",5.8,14.8,5,112.171,30.1,506,1.38888888888889,16470,7.3,106,9.25,10.95,NA,11.98,19.45,9,395.01,9347.58333333333,NA,-34.0020479777522,158.155477893587
"Reesor",2013,8,13,12,49.664684,-110.105767,2013-08-06,"",0.65,5,35,40.858,6.883,1242,9.72222222222222,251.7,6.21,85.1,8.5,0.14,284.7,NA,18.9,6,395.01,3404.83333333333,20.535,9.37357658708081,544.649349623234
"Reflex",2013,8,66,65,52.663786,-110.005945,2013-08-20,"12:10:00 PM",2.8,2.8,20,1060.492,123.039,596,5.55555555555556,125760,2.53,62.2,9.41,102.22,132422,NA,22.4,20,395.01,88374.3333333333,1.235,11.9989341621182,544.56024901201
"Richmond",2013,8,76,75,52.010246,-108.021454,2013-08-22,"8:50:00 AM",0.16,1.8,22,109.253,71.434,629,6.11111111111111,14725,4.17,54.6,8.62,10.02,16978,NA,18.1,22,395.01,9104.41666666667,82.15,21.652753469794,803.613773409472
"Round",2013,8,81,80,50.540163,-102.367886,2013-08-26,"1:06:00 PM",1.187,10.4,10,58.955,13.931,445,2.77777777777778,1545,9.9,128.9,8.91,0.83,1642,NA,21.9,26,395.01,4912.91666666667,22.32,-11.136717680887,272.572105669002
"Shannon",2013,8,97,95,52.649965,-105.433425,2013-08-07,"9:51:00 AM",1.1,11.2,5,67.224,20.602,548,1.38888888888889,2631,8.4,126,9.49,1.5,NA,1.871,20.49,7,395.01,5602,4.775,-78.1329916576214,65.5450809656314
"Shoe",2013,8,37,36,49.715906,-105.356319,2013-08-12,"10:45:00 AM",0.69,3.8,22,133.091,41.637,683,6.11111111111111,35506,4.82,72.1,8.89,25.19,39423,NA,20.2,12,395.01,11090.9166666667,1.81,3.91522204354324,437.652863882857
"Shrimp",2013,8,58,57,51.591576,-108.451809,2013-08-19,"9:00:00 AM",0.29,3,22,45.542,17.917,698,6.11111111111111,800,3.38,47.3,9.04,0.41,838,NA,22.6,19,395.01,3795.16666666667,60.985,-14.2230406390192,160.634931205188
"Sink",2013,8,71,70,52.443573,-109.190351,2013-08-21,"",0.67,2.8,18,185.099,42.333,616,5,1849,1.79,23.6,8.59,2.83,5238,NA,21.1,21,395.01,15424.9166666667,29.36,78.5051983567119,1814.79198591124
"Snakehole",2013,8,101,99,50.50494,-108.489022,2013-08-17,"1:17:00 PM",2.2,2.4,5,127.306,164.32,649,1.38888888888889,70720,7.4,119,8.96,50.22,NA,47.36,23.46,17,395.01,10608.8333333333,NA,-6.88843063968732,304.827695325383
"Snipe",2013,8,30,29,51.233494,-108.858046,2013-08-09,"",0.55,1.2,9,136.656,31.364,649,2.5,2802,7.22,91,8.86,1.67,3180,NA,18.8,9,395.01,11388,12.845,28.2159324952838,673.626923424849
