Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1895:11:16:0 0.155535 0.552642 -0.180705 -0.0304331
1895:12:16:0 0.0929894 0.56305 -0.0845388 -0.146266
1896:1:16:0 -0.0396494 0.531835 0.161798 -0.386466
1896:2:16:0 -0.100692 0.308772 0.0971726 -0.303664
1896:3:16:0 0.0784662 0.0960965 -0.0401949 0.0505154
1896:4:16:0 0.00880091 0.156021 0.0791059 -0.108762
1896:5:16:0 0.103697 0.39349 -0.0311864 -0.077455
1896:6:16:0 -0.157556 0.543468 -0.0928553 -0.382862
1896:7:16:0 0.366046 0.597406 -0.162402 0.148544
1896:8:16:0 0.65421 1.07454 -0.460583 0.347233
1896:9:16:0 0.671812 1.04849 -0.519426 0.407277
1896:10:16:0 0.564595 0.811648 -0.61289 0.465215
1896:11:16:0 0.758963 1.50882 -0.308656 0.15888
1896:12:16:0 0.685499 1.39192 -0.322226 0.150654
1897:1:16:0 0.639572 1.07771 -0.308555 0.254995
1897:2:16:0 0.51532 0.905054 -0.0821923 0.103889
1897:3:16:0 0.289664 0.80732 -0.0727155 -0.0776378
1897:4:16:0 -0.01693 0.471747 0.123133 -0.31437
1897:5:16:0 -0.0174033 0.446385 0.0572685 -0.26923
1897:6:16:0 0.0528616 0.320178 0.0415025 -0.127979
1897:7:16:0 0.177519 0.208631 -0.0373879 0.091898
1897:8:16:0 0.156782 0.208119 0.0582546 0.0235946
1897:9:16:0 0.104098 -0.0874398 -0.0681894 0.181912
1897:10:16:0 -0.152257 0.104123 0.426949 -0.417793
1897:11:16:0 -0.408203 -0.0989899 0.321906 -0.519661
1897:12:16:0 -0.40761 -0.288653 0.250095 -0.388331
1898:1:16:0 -0.531036 -0.32294 0.229225 -0.484179
1898:2:16:0 -0.453687 -0.347408 0.129541 -0.344754
1898:3:16:0 -0.433276 -0.399312 0.0492079 -0.258224
1898:4:16:0 -0.247864 -0.395258 -0.014086 -0.0431921
1898:5:16:0 -0.286924 -0.521915 0.029586 -0.0407591
1898:6:16:0 -0.183756 -0.510698 -0.161973 0.15258
